food_id,knowledge_document,name,restaurant,category,food_type,meal_type,veg_status,dietary_tags,spice_level,cuisine,protein,flavor,base,price,price_flag,rating,area,city,source,image_url
x8l5__beef-gyro,"Beef Gyro is a main dish available at A1 Tasty Halal Cart - Gulberg in Gulberg, Lahore. It falls under the Gyro category, is non-vegetarian, and has an unspecified spice level. It is Middle Eastern cuisine. Its main protein is beef. It is served with a bread base. Its flavor profile is savory. It is typically eaten as a lunch item. It is tagged halal. It is priced at PKR 1566 and has a customer rating of 4.9/5. Tender seasoned beef wrapped in warm pita bread with lettuce, tomatoes, and creamy garlic sauce.",Beef Gyro,A1 Tasty Halal Cart - Gulberg,Gyro,main,lunch,non_vegetarian,halal,none,Middle Eastern,beef,savory,bread,1566.0,,4.9,Gulberg,Lahore,foodpanda/deliveryhero aggregator scrape,https://images.deliveryhero.io/image/fd-pk/products/83494490.jpg
x8l5__beef-shawarma-with-roasted-potatoes,"Beef Shawarma With Roasted Potatoes is a main dish available at A1 Tasty Halal Cart - Gulberg in Gulberg, Lahore. It falls under the Shawarma category, is non-vegetarian, and has an unspecified spice level. It is Middle Eastern cuisine. Its main protein is beef. It is served with a wrap base. Its flavor profile is smoky. It is typically eaten as a lunch item. It is tagged halal. It is priced at PKR 1476 and has a customer rating of 4.9/5. Spiced sliced beef shawarma served alongside crispy roasted potatoes and tangy tahini dressing.",Beef Shawarma With Roasted Potatoes,A1 Tasty Halal Cart - Gulberg,Shawarma,main,lunch,non_vegetarian,halal,none,Middle Eastern,beef,smoky,wrap,1476.0,,4.9,Gulberg,Lahore,foodpanda/deliveryhero aggregator scrape,https://images.deliveryhero.io/image/fd-pk/Products/82575199.jpg
x8l5__beef-steak-over-rice,"Beef Steak Over Rice is a main dish available at A1 Tasty Halal Cart - Gulberg in Gulberg, Lahore. It falls under the Bowls category, is non-vegetarian, and has an unspecified spice level. Its main protein is beef. It is served with a rice base. Its flavor profile is savory. It is typically eaten as a lunch item. It is tagged halal. It is priced at PKR 1665 and has a customer rating of 4.9/5. Juicy grilled beef steak served over seasoned rice with signature savory white sauce.",Beef Steak Over Rice,A1 Tasty Halal Cart - Gulberg,Bowls,main,lunch,non_vegetarian,halal,none,Unknown,beef,savory,rice,1665.0,,4.9,Gulberg,Lahore,foodpanda/deliveryhero aggregator scrape,https://images.deliveryhero.io/image/fd-pk/Products/72663902.jpg
x8l5__chicken-gyro,"Chicken Gyro is a main dish available at A1 Tasty Halal Cart - Gulberg in Gulberg, Lahore. It falls under the Gyro category, is non-vegetarian, and has an unspecified spice level. It is Middle Eastern cuisine. Its main protein is chicken. It is served with a bread base. Its flavor profile is creamy. It is typically eaten as a lunch item. It is tagged halal. It is priced at PKR 1116 and has a customer rating of 4.9/5. Flavorful grilled chicken slices wrapped in soft pita bread with fresh vegetables and creamy sauce.",Chicken Gyro,A1 Tasty Halal Cart - Gulberg,Gyro,main,lunch,non_vegetarian,halal,none,Middle Eastern,chicken,creamy,bread,1116.0,,4.9,Gulberg,Lahore,foodpanda/deliveryhero aggregator scrape,https://images.deliveryhero.io/image/fd-pk/Products/72663905.jpg
x8l5__chicken-karaage-over-rice,"Chicken Karaage Over Rice is a main dish available at A1 Tasty Halal Cart - Gulberg in Gulberg, Lahore. It falls under the Bowls category, is non-vegetarian, and has an unspecified spice level. It is Japanese cuisine. Its main protein is chicken. It is served with a rice base. Its flavor profile is savory. It is typically eaten as a lunch item. It is tagged halal. It is priced at PKR 1206 and has a customer rating of 4.9/5. Japanese style crispy fried chicken bites served on top of fluffy rice with savory sauce.",Chicken Karaage Over Rice,A1 Tasty Halal Cart - Gulberg,Bowls,main,lunch,non_vegetarian,halal,none,Japanese,chicken,savory,rice,1206.0,,4.9,Gulberg,Lahore,foodpanda/deliveryhero aggregator scrape,https://images.deliveryhero.io/image/fd-pk/Products/72663903.jpg
x8l5__chicken-loaded-hummus,"Chicken Loaded Hummus is an appetizer dish available at A1 Tasty Halal Cart - Gulberg in Gulberg, Lahore. It falls under the Appetizers category, is non-vegetarian, and has an unspecified spice level. It is Middle Eastern cuisine. Its main protein is chicken. Its flavor profile is savory. It is typically eaten as a snack item. It is tagged halal. It is priced at PKR 990 and has a customer rating of 4.9/5. Creamy chickpea dip topped with juicy seasoned grilled chicken and drizzled with olive oil.",Chicken Loaded Hummus,A1 Tasty Halal Cart - Gulberg,Appetizers,appetizer,snack,non_vegetarian,halal,none,Middle Eastern,chicken,savory,none,990.0,,4.9,Gulberg,Lahore,foodpanda/deliveryhero aggregator scrape,https://images.deliveryhero.io/image/fd-pk/Products/81124377.jpg
x8l5__chicken-over-salad,"Chicken Over Salad is a main dish available at A1 Tasty Halal Cart - Gulberg in Gulberg, Lahore. It falls under the Salad category, is non-vegetarian, and has an unspecified spice level. Its main protein is chicken. It is served with a salad base. Its flavor profile is savory. It is typically eaten as a lunch item. It is tagged halal. It is priced at PKR 1079 and has a customer rating of 4.9/5. Tender grilled chicken strips served over crisp mixed greens with rich garlic dressing.",Chicken Over Salad,A1 Tasty Halal Cart - Gulberg,Salad,main,lunch,non_vegetarian,halal,none,Unknown,chicken,savory,salad,1079.1,,4.9,Gulberg,Lahore,foodpanda/deliveryhero aggregator scrape,https://images.deliveryhero.io/image/fd-pk/Products/78210596.jpg
x8l5__chicken-shawarma,"Chicken Shawarma is a main dish available at A1 Tasty Halal Cart - Gulberg in Gulberg, Lahore. It falls under the Shawarma category, is non-vegetarian, and has an unspecified spice level. It is Middle Eastern cuisine. Its main protein is chicken. It is served with a wrap base. Its flavor profile is savory. It is typically eaten as a lunch item. It is tagged halal. It is priced at PKR 990 and has a customer rating of 4.9/5. Classic marinated chicken wrapped in soft flatbread with pickles and garlic mayo sauce.",Chicken Shawarma,A1 Tasty Halal Cart - Gulberg,Shawarma,main,lunch,non_vegetarian,halal,none,Middle Eastern,chicken,savory,wrap,990.0,,4.9,Gulberg,Lahore,foodpanda/deliveryhero aggregator scrape,https://images.deliveryhero.io/image/fd-pk/Products/72644309.jpg
x8l5__chicken-beef-over-rice,"Chicken-Beef Over Rice is a main dish available at A1 Tasty Halal Cart - Gulberg in Gulberg, Lahore. It falls under the Bowls category, is non-vegetarian, and has an unspecified spice level. Its main protein is mixed. It is served with a rice base. Its flavor profile is savory. It is typically eaten as a lunch item. It is tagged halal. It is priced at PKR 1485 and has a customer rating of 4.9/5. Combination of grilled chicken and beef served over seasoned rice with signature white sauce.",Chicken-Beef Over Rice,A1 Tasty Halal Cart - Gulberg,Bowls,main,lunch,non_vegetarian,halal,none,Unknown,mixed,savory,rice,1485.0,,4.9,Gulberg,Lahore,foodpanda/deliveryhero aggregator scrape,https://images.deliveryhero.io/image/fd-pk/Products/74299730.jpg
x8l5__coke,"Coke is a beverage dish available at A1 Tasty Halal Cart - Gulberg in Gulberg, Lahore. It falls under the Drinks category, is vegetarian, and has an unspecified spice level. It is Cafe cuisine. It is served with a beverage base. Its flavor profile is sweet. It is typically eaten as an anytime item. It is tagged halal. It is priced at PKR 176 and has a customer rating of 4.9/5. Refreshing chilled carbonated soft drink offering a classic sweet cola flavor.",Coke,A1 Tasty Halal Cart - Gulberg,Drinks,beverage,anytime,vegetarian,halal,none,Cafe,none,sweet,beverage,175.5,,4.9,Gulberg,Lahore,foodpanda/deliveryhero aggregator scrape,https://images.deliveryhero.io/image/fd-pk/Products/74392326.jpg
