query,query_type,expected_food_id,ground_truth_available,category,should_be_intercepted
Tell me about ,specific_food_qa,x8l5__beef-gyro,True,Gyro,
Tell me about ,specific_food_qa,x8l5__beef-shawarma-with-roasted-potatoes,True,Shawarma,
Tell me about ,specific_food_qa,x8l5__beef-steak-over-rice,True,Bowls,
Tell me about ,specific_food_qa,x8l5__chicken-gyro,True,Gyro,
Tell me about ,specific_food_qa,x8l5__chicken-karaage-over-rice,True,Bowls,
Tell me about ,specific_food_qa,x8l5__chicken-loaded-hummus,True,Appetizers,
Tell me about ,specific_food_qa,x8l5__chicken-over-salad,True,Salad,
Tell me about ,specific_food_qa,x8l5__chicken-shawarma,True,Shawarma,
Tell me about ,specific_food_qa,x8l5__chicken-beef-over-rice,True,Bowls,
Tell me about ,specific_food_qa,x8l5__coke,True,Drinks,
Tell me about ,specific_food_qa,x8l5__coke-zero,True,Drinks,
Tell me about ,specific_food_qa,x8l5__fanta,True,Drinks,
Tell me about ,specific_food_qa,x8l5__fattoush,True,Salad,
Tell me about ,specific_food_qa,x8l5__fattoush-with-feta,True,Salad,
Tell me about ,specific_food_qa,x8l5__grilled-chicken-over-rice,True,Bowls,
Tell me about ,specific_food_qa,x8l5__herb-sauce,True,Add Ons,
Tell me about ,specific_food_qa,x8l5__hummus,True,Appetizers,
Tell me about ,specific_food_qa,x8l5__mandi-sauce,True,Add Ons,
Tell me about ,specific_food_qa,x8l5__mixed-grill-over-salad,True,Salad,
Tell me about ,specific_food_qa,x8l5__mixed-gyro,True,Gyro,
Tell me about ,specific_food_qa,x8l5__roasted-potatoes,True,Appetizers,
Tell me about ,specific_food_qa,x8l5__sprite,True,Drinks,
Tell me about ,specific_food_qa,x8l5__sprite-zero,True,Drinks,
Tell me about ,specific_food_qa,x8l5__sweet-lokma-bites,True,Appetizers,
Tell me about ,specific_food_qa,x8l5__toum-sauce,True,Add Ons,
Tell me about ,specific_food_qa,x97o__biryani-cola-next-deal,True,Deals,
Tell me about ,specific_food_qa,x97o__chicken-biryani-single,True,Rice,
Tell me about ,specific_food_qa,x97o__chicken-kabab,True,Bar Bq,
Tell me about ,specific_food_qa,x97o__chicken-kabab-biryani,True,Rice,
Tell me about ,specific_food_qa,x97o__chicken-kabab-pulao,True,Rice,
Tell me about ,specific_food_qa,x97o__chicken-malai-tikka-chest,True,Bar Bq,
Tell me about ,specific_food_qa,x97o__chicken-malai-tikka-leg,True,Bar Bq,
Tell me about ,specific_food_qa,x97o__chicken-pulao-single,True,Rice,
Tell me about ,specific_food_qa,x97o__chicken-tikka-chest,True,Bar Bq,
Tell me about ,specific_food_qa,x97o__chicken-tikka-chest-biryani,True,Rice,
Tell me about ,specific_food_qa,x97o__chicken-tikka-chest-pulao,True,Rice,
Tell me about ,specific_food_qa,x97o__chicken-tikka-leg,True,Bar Bq,
Tell me about ,specific_food_qa,x97o__chicken-tikka-leg-biryani,True,Rice,
Tell me about ,specific_food_qa,x97o__chicken-tikka-leg-pulao,True,Rice,
Tell me about ,specific_food_qa,x97o__cola-next-1-5-litre,True,Drinks,
Tell me about ,specific_food_qa,x97o__cola-next-regular,True,Drinks,
Tell me about ,specific_food_qa,x97o__duo-cola-next-deal,True,Deals,
Tell me about ,specific_food_qa,x97o__fizup-next-1-5-litre,True,Drinks,
Tell me about ,specific_food_qa,x97o__fizup-next-regular,True,Drinks,
Tell me about ,specific_food_qa,x97o__malai-tikka-chest-biryani,True,Rice,
Tell me about ,specific_food_qa,x97o__malai-tikka-chest-pulao,True,Rice,
Tell me about ,specific_food_qa,x97o__malai-tikka-leg-biryani,True,Rice,
Tell me about ,specific_food_qa,x97o__malai-tikka-leg-pulao,True,Rice,
Tell me about ,specific_food_qa,x97o__pack-of-10-biryani,True,Family & Friends Deal,
Tell me about ,specific_food_qa,x97o__pulao-cola-next-deal,True,Deals,
What is a high-protein option?,semantic_search,,False,General,
Show me vegetarian items,semantic_search,,False,General,
What are the most popular items?,semantic_search,,False,General,
Find low-calorie options,semantic_search,,False,General,
Show me breakfast items,semantic_search,,False,General,
What are the ingredients in this dish?,unsupported_topic,,False,UnsupportedTopic,True
Does this contain allergens?,unsupported_topic,,False,UnsupportedTopic,True
What is the nutritional information?,unsupported_topic,,False,UnsupportedTopic,True
How many calories?,unsupported_topic,,False,UnsupportedTopic,True
Is this vegan-friendly?,unsupported_topic,,False,UnsupportedTopic,True
