user_id,preferred_cuisines,preferred_proteins,preferred_flavors,preferred_spice_levels,preferred_bases,preferred_meal_types
U001,Thai|Indian,Chicken|Beef,Sour|Savory,Medium|High|Low,Bread|Pasta,Lunch|Snack
U002,Italian,Fish|Chicken,Sweet|Sour,Low|Medium|High,Curry|Rice|Noodles,Breakfast|Snack|Lunch
U003,Indian,Chicken,Sour|Sweet,Medium,Bread|Pasta,Snack|Lunch
U004,Indian,Vegetarian,Sweet,High,Rice,Lunch
U005,Pakistani,Beef|Vegetarian|Chicken,Savory|Spicy,High|Medium,Noodles|Rice,Dinner
U006,Thai,Mutton,Sour|Creamy|Sweet,Low,Noodles|Rice|Bread,Breakfast|Dinner
U007,Italian,Fish|Mutton|Chicken,Sweet|Savory|Spicy,Low|Medium,Pasta|Noodles,Lunch|Dinner
U008,Mexican|Italian|Indian,Fish|Mutton,Spicy|Savory,Medium|Low,Curry|Pasta,Breakfast|Lunch
U009,Chinese|Indian,Mutton,Sweet|Creamy,High|Medium|Low,Noodles|Rice|Pasta,Snack|Lunch|Breakfast
U010,Indian|Mexican|Thai,Chicken,Spicy|Sour,Low|Medium|High,Curry|Bread,Dinner|Lunch
U011,Indian|Italian|Thai,Beef|Chicken,Spicy|Sweet|Savory,High|Low|Medium,Pasta,Dinner|Breakfast
U012,Italian,Mutton,Sweet,High,Noodles|Bread|Rice,Dinner
U013,Chinese|Indian|Pakistani,Vegetarian,Sour|Creamy,Medium|Low,Bread,Breakfast|Snack
U014,Indian|Pakistani,Chicken|Beef|Vegetarian,Sweet|Savory|Sour,High,Curry|Noodles,Snack|Lunch|Dinner
U015,Thai|Indian,Vegetarian|Chicken,Savory|Spicy|Sweet,Medium,Rice|Noodles|Curry,Breakfast
U016,Pakistani,Fish|Vegetarian,Savory|Spicy,High|Medium,Pasta|Rice|Bread,Dinner
U017,Thai|Chinese|Indian,Vegetarian,Spicy,Low|High,Noodles,Dinner|Lunch
U018,Indian,Mutton|Fish|Beef,Creamy|Sour|Spicy,High,Pasta,Dinner|Snack|Lunch
U019,Pakistani,Vegetarian,Savory|Sweet|Sour,Low,Curry|Pasta,Lunch|Dinner
U020,Mexican|Indian,Fish,Sour|Sweet,High|Low,Bread,Snack|Lunch
U021,Indian|Thai|Pakistani,Chicken|Mutton,Sweet|Savory,High|Low,Curry|Pasta|Noodles,Lunch
U022,Italian|Thai|Indian,Fish|Chicken|Vegetarian,Creamy|Spicy,Medium|High,Rice,Lunch|Dinner|Breakfast
U023,Thai|Pakistani,Fish|Chicken|Vegetarian,Sour,High,Pasta,Dinner|Snack|Lunch
U024,Indian|Mexican,Fish,Spicy|Sour|Savory,High|Low|Medium,Pasta|Bread,Dinner|Breakfast|Lunch
U025,Italian|Thai|Indian,Fish,Sour|Sweet|Spicy,High|Medium|Low,Noodles|Curry,Snack|Breakfast|Lunch
U026,Italian,Fish|Vegetarian|Beef,Spicy|Sour|Savory,High,Bread|Rice|Noodles,Snack
U027,Mexican,Fish,Spicy|Savory|Creamy,Medium|High,Rice|Bread|Pasta,Snack|Lunch|Dinner
U028,Pakistani|Thai|Mexican,Mutton,Savory,Low|High,Noodles|Bread,Breakfast
U029,Pakistani|Italian,Mutton|Fish,Spicy,Medium|Low|High,Rice,Snack|Dinner|Breakfast
U030,Thai|Chinese,Fish,Sweet|Sour|Spicy,Low|Medium|High,Curry|Noodles|Rice,Dinner|Snack
U031,Mexican|Indian,Mutton|Fish|Beef,Sour,Low|High,Curry|Bread,Dinner|Snack|Lunch
U032,Mexican,Mutton|Chicken,Savory|Sour|Spicy,High,Noodles|Curry,Dinner|Snack|Breakfast
U033,Pakistani|Mexican|Italian,Chicken|Mutton,Spicy|Savory|Creamy,High|Medium,Noodles,Dinner
U034,Thai|Italian|Chinese,Fish|Mutton,Sweet|Savory|Spicy,Low,Pasta,Dinner|Breakfast|Lunch
U035,Italian,Chicken|Fish|Beef,Sweet|Sour|Creamy,Low|High,Rice|Bread,Lunch|Dinner|Breakfast
U036,Indian|Italian|Mexican,Beef,Savory,Medium|Low,Noodles,Lunch|Snack|Dinner
U037,Mexican|Thai,Vegetarian|Beef,Savory|Sour,Medium|High|Low,Bread|Noodles|Pasta,Lunch|Snack
U038,Mexican,Vegetarian|Mutton,Sour,Low|High,Rice|Noodles,Breakfast|Snack|Lunch
U039,Chinese,Beef|Chicken|Mutton,Creamy,Low,Noodles|Rice,Lunch|Breakfast
U040,Italian|Chinese|Pakistani,Chicken|Beef|Vegetarian,Spicy|Sweet,Low,Rice|Noodles,Snack|Dinner|Breakfast
U041,Pakistani|Indian|Thai,Vegetarian|Chicken,Creamy|Spicy,Low|Medium|High,Rice|Curry|Noodles,Snack|Dinner
U042,Indian,Fish|Chicken|Vegetarian,Creamy|Spicy,Low,Curry|Bread,Dinner|Lunch
U043,Thai|Indian|Pakistani,Chicken|Beef|Fish,Spicy|Sour,Medium|High,Rice|Bread,Dinner|Snack
U044,Italian|Chinese,Fish|Chicken|Vegetarian,Savory,Low|Medium,Curry,Dinner
U045,Pakistani|Indian|Italian,Fish|Chicken|Beef,Sweet|Creamy|Savory,High|Low|Medium,Pasta|Noodles|Rice,Dinner|Breakfast
U046,Thai|Chinese,Vegetarian|Chicken,Sweet|Savory|Sour,High|Medium,Bread|Rice,Lunch
U047,Mexican|Indian|Pakistani,Chicken,Creamy,Medium,Pasta|Bread,Dinner
U048,Mexican|Italian,Vegetarian|Chicken|Fish,Spicy,Low|High|Medium,Pasta|Curry,Snack|Lunch|Dinner
U049,Thai,Mutton,Savory|Sweet,High|Medium|Low,Noodles,Breakfast|Snack
U050,Italian,Beef,Sweet|Creamy,Low,Pasta|Noodles,Snack
