food_id,restaurant_id,restaurant,name,description,category,dish_type,spice_level,spice_level_raw,food_type,meal_type,dietary_tags,price,price_flag,currency,rating,city,area,image_url,source,veg_status,semantic_text,cuisine,protein,flavor,base
x8l5__beef-gyro,x8l5,A1 Tasty Halal Cart - Gulberg,Beef Gyro,"Tender seasoned beef wrapped in warm pita bread with lettuce, tomatoes, and creamy garlic sauce.",Gyro,,none,0,main,lunch,halal,1566.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/products/83494490.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Beef Gyro — Gyro category, main dish, non-vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",Middle Eastern,beef,savory,bread
x8l5__beef-shawarma-with-roasted-potatoes,x8l5,A1 Tasty Halal Cart - Gulberg,Beef Shawarma With Roasted Potatoes,Spiced sliced beef shawarma served alongside crispy roasted potatoes and tangy tahini dressing.,Shawarma,sandwich,none,0,main,lunch,halal,1476.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/82575199.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Beef Shawarma With Roasted Potatoes — Shawarma category, main dish, non-vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",Middle Eastern,beef,smoky,wrap
x8l5__beef-steak-over-rice,x8l5,A1 Tasty Halal Cart - Gulberg,Beef Steak Over Rice,Juicy grilled beef steak served over seasoned rice with signature savory white sauce.,Bowls,,none,0,main,lunch,halal,1665.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/72663902.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Beef Steak Over Rice — Bowls category, main dish, non-vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",unknown,beef,savory,rice
x8l5__chicken-gyro,x8l5,A1 Tasty Halal Cart - Gulberg,Chicken Gyro,Flavorful grilled chicken slices wrapped in soft pita bread with fresh vegetables and creamy sauce.,Gyro,,none,0,main,lunch,halal,1116.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/72663905.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Gyro — Gyro category, main dish, non-vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",Middle Eastern,chicken,creamy,bread
x8l5__chicken-karaage-over-rice,x8l5,A1 Tasty Halal Cart - Gulberg,Chicken Karaage Over Rice,Japanese style crispy fried chicken bites served on top of fluffy rice with savory sauce.,Bowls,,none,0,main,lunch,halal,1206.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/72663903.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Karaage Over Rice — Bowls category, main dish, non-vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",japanese,chicken,savory,rice
x8l5__chicken-loaded-hummus,x8l5,A1 Tasty Halal Cart - Gulberg,Chicken Loaded Hummus,Creamy chickpea dip topped with juicy seasoned grilled chicken and drizzled with olive oil.,Appetizers,,none,0,appetizer,snack,halal,990.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/81124377.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Loaded Hummus — Appetizers category, appetizer dish, non-vegetarian, halal, none spice level, snack meal, served at A1 Tasty Halal Cart - Gulberg.",Middle Eastern,chicken,savory,none
x8l5__chicken-over-salad,x8l5,A1 Tasty Halal Cart - Gulberg,Chicken Over Salad,Tender grilled chicken strips served over crisp mixed greens with rich garlic dressing.,Salad,sides,none,0,main,lunch,halal,1079.1,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/78210596.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Over Salad — Salad category, main dish, non-vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",unknown,chicken,savory,salad
x8l5__chicken-shawarma,x8l5,A1 Tasty Halal Cart - Gulberg,Chicken Shawarma,Classic marinated chicken wrapped in soft flatbread with pickles and garlic mayo sauce.,Shawarma,sandwich,none,0,main,lunch,halal,990.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/72644309.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Shawarma — Shawarma category, main dish, non-vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",Middle Eastern,chicken,savory,wrap
x8l5__chicken-beef-over-rice,x8l5,A1 Tasty Halal Cart - Gulberg,Chicken-Beef Over Rice,Combination of grilled chicken and beef served over seasoned rice with signature white sauce.,Bowls,,none,0,main,lunch,halal,1485.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/74299730.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken-Beef Over Rice — Bowls category, main dish, non-vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",unknown,mixed,savory,rice
x8l5__coke,x8l5,A1 Tasty Halal Cart - Gulberg,Coke,Refreshing chilled carbonated soft drink offering a classic sweet cola flavor.,Drinks,beverage,none,0,beverage,anytime,halal,175.5,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/74392326.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Coke — Drinks category, beverage dish, vegetarian, halal, none spice level, anytime meal, served at A1 Tasty Halal Cart - Gulberg.",Cafe,none,sweet,beverage
