interaction_id,user_id,food_id,interaction_type,rating,timestamp
I00001,U035,F091,save,,2026-03-27T12:05:00
I00002,U005,F051,dislike,,2026-01-03T15:41:00
I00003,U005,F041,skip,,2026-03-23T14:15:00
I00004,U019,F015,rating,4,2026-03-21T15:42:00
I00005,U045,F047,click,,2026-02-01T14:52:00
I00006,U038,F052,dislike,,2026-02-09T11:35:00
I00007,U015,F043,dislike,,2026-03-23T03:53:00
I00008,U034,F066,click,,2026-02-14T22:01:00
I00009,U010,F031,like,,2026-01-23T20:33:00
I00010,U010,F098,like,,2026-03-22T16:51:00
I00011,U030,F097,save,,2026-03-29T19:16:00
I00012,U042,F082,dislike,,2026-03-22T10:47:00
I00013,U010,F057,like,,2026-02-08T09:22:00
I00014,U038,F008,like,,2026-03-01T15:25:00
I00015,U003,F008,dislike,,2026-03-24T03:04:00
I00016,U040,F077,skip,,2026-03-12T01:24:00
I00017,U029,F074,dislike,,2026-03-02T17:06:00
I00018,U010,F008,click,,2026-02-13T02:52:00
I00019,U033,F083,like,,2026-02-26T14:59:00
I00020,U034,F067,dislike,,2026-02-06T13:13:00
I00021,U027,F100,save,,2026-03-22T22:05:00
I00022,U022,F009,save,,2026-02-19T09:41:00
I00023,U017,F093,click,,2026-03-19T05:07:00
I00024,U022,F011,dislike,,2026-02-14T10:35:00
I00025,U042,F090,dislike,,2026-01-11T10:34:00
I00026,U036,F049,like,,2026-01-17T22:52:00
I00027,U045,F095,click,,2026-01-12T22:03:00
I00028,U043,F055,dislike,,2026-02-09T06:09:00
I00029,U014,F044,skip,,2026-01-29T04:41:00
I00030,U010,F010,click,,2026-03-06T18:25:00
I00031,U048,F068,like,,2026-03-21T04:28:00
I00032,U039,F049,like,,2026-03-30T21:19:00
I00033,U011,F093,like,,2026-03-28T08:06:00
I00034,U029,F079,click,,2026-02-27T07:59:00
I00035,U035,F031,click,,2026-03-02T06:37:00
I00036,U024,F087,click,,2026-03-01T09:37:00
I00037,U050,F049,skip,,2026-01-21T06:48:00
I00038,U039,F018,dislike,,2026-03-03T12:40:00
I00039,U036,F014,skip,,2026-01-16T09:43:00
I00040,U006,F098,like,,2026-03-07T05:01:00
I00041,U028,F012,dislike,,2026-02-27T11:55:00
I00042,U002,F054,save,,2026-01-31T13:10:00
