food_id,name,cuisine,protein,flavor,spice_level,base,meal_type
F001,Food 1,Mexican,Chicken,Savory,High,Bread,Lunch
F002,Food 2,Chinese,Beef,Savory,High,Curry,Breakfast
F003,Food 3,Thai,Fish,Savory,Low,Rice,Lunch
F004,Food 4,Chinese,Vegetarian,Creamy,Low,Curry,Lunch
F005,Food 5,Mexican,Vegetarian,Sour,Low,Pasta,Dinner
F006,Food 6,Pakistani,Beef,Sour,Medium,Bread,Lunch
F007,Food 7,Chinese,Mutton,Savory,Low,Pasta,Breakfast
F008,Food 8,Italian,Mutton,Creamy,Medium,Rice,Snack
F009,Food 9,Thai,Chicken,Sour,Low,Curry,Dinner
F010,Food 10,Mexican,Vegetarian,Sweet,High,Noodles,Breakfast
F011,Food 11,Pakistani,Beef,Sweet,Low,Noodles,Breakfast
F012,Food 12,Indian,Mutton,Sour,High,Bread,Lunch
F013,Food 13,Italian,Mutton,Spicy,High,Bread,Breakfast
F014,Food 14,Thai,Beef,Creamy,High,Noodles,Lunch
F015,Food 15,Indian,Fish,Sweet,High,Curry,Lunch
F016,Food 16,Mexican,Mutton,Savory,Low,Rice,Dinner
F017,Food 17,Indian,Mutton,Savory,Low,Curry,Dinner
F018,Food 18,Chinese,Fish,Sour,High,Pasta,Lunch
F019,Food 19,Italian,Beef,Spicy,High,Curry,Dinner
F020,Food 20,Mexican,Vegetarian,Sour,High,Pasta,Dinner
F021,Food 21,Chinese,Beef,Creamy,Medium,Rice,Breakfast
F022,Food 22,Pakistani,Beef,Spicy,High,Pasta,Breakfast
F023,Food 23,Indian,Fish,Creamy,Medium,Curry,Dinner
F024,Food 24,Thai,Chicken,Savory,High,Curry,Dinner
F025,Food 25,Mexican,Mutton,Savory,Medium,Pasta,Lunch
F026,Food 26,Indian,Chicken,Sweet,High,Noodles,Breakfast
F027,Food 27,Mexican,Mutton,Creamy,High,Noodles,Lunch
F028,Food 28,Italian,Beef,Creamy,High,Rice,Dinner
F029,Food 29,Indian,Chicken,Savory,Medium,Bread,Lunch
F030,Food 30,Pakistani,Beef,Creamy,Low,Rice,Snack
F031,Food 31,Pakistani,Vegetarian,Spicy,Low,Pasta,Lunch
F032,Food 32,Italian,Vegetarian,Creamy,Medium,Noodles,Lunch
F033,Food 33,Mexican,Mutton,Sour,High,Bread,Snack
F034,Food 34,Thai,Fish,Savory,Low,Noodles,Breakfast
F035,Food 35,Italian,Chicken,Creamy,High,Noodles,Lunch
F036,Food 36,Pakistani,Chicken,Savory,Low,Rice,Breakfast
F037,Food 37,Italian,Chicken,Creamy,Low,Bread,Snack
F038,Food 38,Chinese,Vegetarian,Spicy,High,Curry,Snack
F039,Food 39,Chinese,Fish,Sour,Low,Rice,Breakfast
F040,Food 40,Mexican,Fish,Sweet,Medium,Pasta,Snack
F041,Food 41,Mexican,Chicken,Savory,Low,Pasta,Dinner
F042,Food 42,Pakistani,Beef,Spicy,Low,Curry,Snack
F043,Food 43,Chinese,Fish,Spicy,Medium,Pasta,Lunch
F044,Food 44,Pakistani,Fish,Creamy,Low,Rice,Breakfast
F045,Food 45,Pakistani,Beef,Spicy,Medium,Pasta,Snack
F046,Food 46,Chinese,Fish,Savory,Low,Pasta,Breakfast
F047,Food 47,Indian,Mutton,Sour,Medium,Pasta,Snack
F048,Food 48,Chinese,Beef,Sweet,Low,Rice,Breakfast
F049,Food 49,Mexican,Mutton,Savory,Low,Curry,Snack
F050,Food 50,Thai,Vegetarian,Spicy,Low,Curry,Breakfast
F051,Food 51,Chinese,Chicken,Creamy,Low,Noodles,Snack
F052,Food 52,Pakistani,Vegetarian,Spicy,High,Curry,Breakfast
F053,Food 53,Thai,Chicken,Sour,High,Curry,Dinner
F054,Food 54,Italian,Beef,Sweet,Low,Bread,Snack
F055,Food 55,Chinese,Mutton,Sour,Medium,Rice,Breakfast
F056,Food 56,Indian,Vegetarian,Creamy,Low,Rice,Lunch
F057,Food 57,Thai,Mutton,Spicy,Medium,Rice,Lunch
F058,Food 58,Italian,Mutton,Spicy,Medium,Curry,Dinner
F059,Food 59,Thai,Vegetarian,Savory,High,Curry,Dinner
F060,Food 60,Mexican,Chicken,Spicy,Medium,Rice,Breakfast
F061,Food 61,Mexican,Vegetarian,Spicy,Medium,Bread,Lunch
F062,Food 62,Mexican,Mutton,Spicy,High,Bread,Snack
F063,Food 63,Italian,Chicken,Savory,High,Pasta,Dinner
F064,Food 64,Pakistani,Chicken,Sweet,Low,Bread,Lunch
F065,Food 65,Mexican,Fish,Creamy,High,Pasta,Breakfast
F066,Food 66,Pakistani,Chicken,Spicy,High,Rice,Dinner
F067,Food 67,Thai,Vegetarian,Spicy,Medium,Noodles,Breakfast
F068,Food 68,Italian,Mutton,Savory,Medium,Noodles,Lunch
F069,Food 69,Mexican,Chicken,Sweet,High,Pasta,Lunch
F070,Food 70,Chinese,Beef,Spicy,Medium,Rice,Lunch
F071,Food 71,Mexican,Mutton,Sour,High,Noodles,Dinner
F072,Food 72,Chinese,Chicken,Sour,Low,Pasta,Lunch
F073,Food 73,Chinese,Fish,Sweet,Medium,Noodles,Lunch
