interaction_id,user_id,food_id,timestamp,cuisine,protein,flavor,spice_level,base,meal_type,cuisine_match,protein_match,flavor_match,spice_level_match,base_match,meal_type_match,taste_match_score,previous_likes,previous_dislikes,previous_saves,previous_skips,previous_interactions,days_since_previous_interaction,hour,day_of_week,target
I04804,U035,F035,2026-01-02T01:44:00,Italian,Chicken,Creamy,High,Noodles,Lunch,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,-1.0,1,4,1
I00114,U035,F063,2026-01-03T12:34:00,Italian,Chicken,Savory,High,Pasta,Dinner,1.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,2.0,0.5729166666666666,12,5,0
I02093,U035,F035,2026-01-03T15:14:00,Italian,Chicken,Creamy,High,Noodles,Lunch,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334,1.0,1.0,0.0,0.0,3.0,0.1111111111111111,15,5,1
I02862,U035,F088,2026-01-03T22:49:00,Pakistani,Beef,Sweet,Low,Noodles,Lunch,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,2.0,1.0,0.0,0.0,4.0,0.3159722222222222,22,5,1
I01362,U035,F039,2026-01-05T04:44:00,Chinese,Fish,Sour,Low,Rice,Breakfast,0.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,3.0,1.0,0.0,0.0,5.0,1.2465277777777777,4,0,1
I04938,U035,F060,2026-01-05T19:11:00,Mexican,Chicken,Spicy,Medium,Rice,Breakfast,0.0,1.0,0.0,0.0,1.0,1.0,0.5,4.0,1.0,0.0,0.0,6.0,0.6020833333333333,19,0,1
I01512,U035,F066,2026-01-06T08:05:00,Pakistani,Chicken,Spicy,High,Rice,Dinner,0.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,5.0,1.0,0.0,0.0,7.0,0.5375,8,1,1
I02804,U035,F096,2026-01-06T16:14:00,Mexican,Fish,Sour,Medium,Noodles,Dinner,0.0,1.0,1.0,0.0,0.0,1.0,0.5,6.0,1.0,0.0,0.0,8.0,0.33958333333333335,16,1,0
I03944,U035,F083,2026-01-08T07:23:00,Indian,Fish,Spicy,High,Curry,Dinner,0.0,1.0,0.0,1.0,0.0,1.0,0.5,6.0,1.0,0.0,1.0,9.0,1.63125,7,3,0
I02140,U035,F092,2026-01-08T09:59:00,Indian,Beef,Spicy,High,Curry,Snack,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,6.0,1.0,0.0,2.0,10.0,0.10833333333333334,9,3,1
I01748,U035,F068,2026-01-09T16:02:00,Italian,Mutton,Savory,Medium,Noodles,Lunch,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,6.0,1.0,1.0,2.0,12.0,0.9270833333333334,16,4,1
I00930,U035,F020,2026-01-10T01:15:00,Mexican,Vegetarian,Sour,High,Pasta,Dinner,0.0,0.0,1.0,1.0,0.0,1.0,0.5,6.0,1.0,2.0,2.0,13.0,0.3840277777777778,1,5,0
I03685,U035,F029,2026-01-11T04:40:00,Indian,Chicken,Savory,Medium,Bread,Lunch,0.0,1.0,0.0,0.0,1.0,1.0,0.5,6.0,2.0,2.0,2.0,14.0,1.1423611111111112,4,6,1
I02242,U035,F047,2026-01-13T16:18:00,Indian,Mutton,Sour,Medium,Pasta,Snack,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,6.0,2.0,3.0,2.0,15.0,2.484722222222222,16,1,0
I01693,U035,F055,2026-01-15T06:00:00,Chinese,Mutton,Sour,Medium,Rice,Breakfast,0.0,0.0,1.0,0.0,1.0,1.0,0.5,6.0,2.0,3.0,3.0,16.0,1.5708333333333333,6,3,0
I02216,U035,F078,2026-01-17T18:26:00,Indian,Vegetarian,Creamy,Low,Pasta,Lunch,0.0,0.0,1.0,1.0,0.0,1.0,0.5,6.0,2.0,3.0,4.0,18.0,1.6305555555555555,18,5,0
I02731,U035,F089,2026-01-20T04:08:00,Pakistani,Chicken,Spicy,Medium,Curry,Breakfast,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,6.0,3.0,3.0,4.0,20.0,1.45625,4,1,0
I01976,U035,F051,2026-01-21T12:45:00,Chinese,Chicken,Creamy,Low,Noodles,Snack,0.0,1.0,1.0,1.0,0.0,0.0,0.5,6.0,4.0,3.0,4.0,21.0,1.3590277777777777,12,2,0
I03139,U035,F022,2026-01-21T22:33:00,Pakistani,Beef,Spicy,High,Pasta,Breakfast,0.0,1.0,0.0,1.0,0.0,1.0,0.5,6.0,5.0,3.0,4.0,23.0,0.34930555555555554,22,2,1
I03248,U035,F096,2026-01-23T09:08:00,Mexican,Fish,Sour,Medium,Noodles,Dinner,0.0,1.0,1.0,0.0,0.0,1.0,0.5,7.0,5.0,3.0,4.0,24.0,1.4409722222222223,9,4,0
I02998,U035,F098,2026-01-23T11:43:00,Mexican,Mutton,Spicy,Medium,Bread,Dinner,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,7.0,5.0,3.0,5.0,25.0,0.1076388888888889,11,4,1
I02348,U035,F067,2026-01-26T09:38:00,Thai,Vegetarian,Spicy,Medium,Noodles,Breakfast,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,7.0,5.0,3.0,5.0,27.0,2.6125,9,0,0
I01675,U035,F020,2026-01-28T10:55:00,Mexican,Vegetarian,Sour,High,Pasta,Dinner,0.0,0.0,1.0,1.0,0.0,1.0,0.5,7.0,5.0,3.0,6.0,28.0,2.053472222222222,10,2,0
I01350,U035,F083,2026-01-30T03:21:00,Indian,Fish,Spicy,High,Curry,Dinner,0.0,1.0,0.0,1.0,0.0,1.0,0.5,7.0,6.0,3.0,6.0,30.0,1.6208333333333333,3,4,1
I01626,U035,F069,2026-01-30T13:07:00,Mexican,Chicken,Sweet,High,Pasta,Lunch,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,8.0,6.0,3.0,6.0,31.0,0.40694444444444444,13,4,1
I02725,U035,F085,2026-01-31T13:16:00,Indian,Vegetarian,Creamy,High,Bread,Snack,0.0,0.0,1.0,1.0,1.0,0.0,0.5,8.0,6.0,4.0,6.0,32.0,1.00625,13,5,0
I00094,U035,F038,2026-02-01T23:22:00,Chinese,Vegetarian,Spicy,High,Curry,Snack,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,8.0,6.0,4.0,7.0,33.0,1.4208333333333334,23,6,0
I00105,U035,F002,2026-02-03T12:29:00,Chinese,Beef,Savory,High,Curry,Breakfast,0.0,1.0,0.0,1.0,0.0,1.0,0.5,8.0,7.0,4.0,7.0,35.0,0.9777777777777777,12,1,0
I04597,U035,F018,2026-02-05T00:41:00,Chinese,Fish,Sour,High,Pasta,Lunch,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,8.0,7.0,4.0,8.0,36.0,1.5083333333333333,0,3,1
I00629,U035,F002,2026-02-06T03:10:00,Chinese,Beef,Savory,High,Curry,Breakfast,0.0,1.0,0.0,1.0,0.0,1.0,0.5,9.0,7.0,4.0,8.0,37.0,1.1034722222222222,3,4,0
I00922,U035,F044,2026-02-07T22:06:00,Pakistani,Fish,Creamy,Low,Rice,Breakfast,0.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,9.0,8.0,4.0,8.0,38.0,1.788888888888889,22,5,1
I04565,U035,F003,2026-02-08T03:29:00,Thai,Fish,Savory,Low,Rice,Lunch,0.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,9.0,8.0,5.0,8.0,39.0,0.22430555555555556,3,6,0
I00346,U035,F046,2026-02-09T15:48:00,Chinese,Fish,Savory,Low,Pasta,Breakfast,0.0,1.0,0.0,1.0,0.0,1.0,0.5,9.0,9.0,5.0,8.0,40.0,1.5131944444444445,15,0,0
I01521,U035,F015,2026-02-12T21:51:00,Indian,Fish,Sweet,High,Curry,Lunch,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,9.0,10.0,5.0,8.0,41.0,3.252083333333333,21,3,0
I03717,U035,F030,2026-02-13T05:35:00,Pakistani,Beef,Creamy,Low,Rice,Snack,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,9.0,10.0,5.0,9.0,42.0,0.32222222222222224,5,4,0
I04079,U035,F097,2026-02-14T14:11:00,Thai,Fish,Spicy,Medium,Pasta,Breakfast,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,9.0,10.0,5.0,10.0,43.0,1.3583333333333334,14,5,0
I00515,U035,F089,2026-02-15T19:11:00,Pakistani,Chicken,Spicy,Medium,Curry,Breakfast,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,9.0,10.0,5.0,11.0,46.0,0.4861111111111111,19,6,0
I00670,U035,F030,2026-02-16T14:04:00,Pakistani,Beef,Creamy,Low,Rice,Snack,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,9.0,10.0,5.0,12.0,47.0,0.7868055555555555,14,0,0
I01973,U035,F003,2026-02-18T03:04:00,Thai,Fish,Savory,Low,Rice,Lunch,0.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,9.0,10.0,5.0,13.0,48.0,1.5416666666666667,3,2,0
I01425,U035,F020,2026-02-18T15:49:00,Mexican,Vegetarian,Sour,High,Pasta,Dinner,0.0,0.0,1.0,1.0,0.0,1.0,0.5,9.0,11.0,5.0,13.0,50.0,0.0763888888888889,15,2,0
I00184,U035,F093,2026-02-18T22:59:00,Pakistani,Vegetarian,Spicy,Low,Pasta,Lunch,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,9.0,12.0,5.0,13.0,51.0,0.2986111111111111,22,2,0
I03985,U035,F012,2026-02-19T07:35:00,Indian,Mutton,Sour,High,Bread,Lunch,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,9.0,13.0,5.0,13.0,52.0,0.35833333333333334,7,3,1
I03632,U035,F097,2026-02-20T15:31:00,Thai,Fish,Spicy,Medium,Pasta,Breakfast,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,9.0,13.0,6.0,13.0,53.0,1.3305555555555555,15,4,0
I01579,U035,F093,2026-02-23T18:47:00,Pakistani,Vegetarian,Spicy,Low,Pasta,Lunch,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,9.0,13.0,6.0,14.0,54.0,3.136111111111111,18,0,1
I01079,U035,F042,2026-02-24T19:23:00,Pakistani,Beef,Spicy,Low,Curry,Snack,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,10.0,13.0,6.0,14.0,55.0,1.025,19,1,1
I01335,U035,F049,2026-02-24T21:42:00,Mexican,Mutton,Savory,Low,Curry,Snack,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,10.0,13.0,7.0,14.0,56.0,0.09652777777777778,21,1,0
I00543,U035,F090,2026-02-25T22:04:00,Indian,Fish,Creamy,Low,Pasta,Snack,0.0,1.0,1.0,1.0,0.0,0.0,0.5,10.0,14.0,7.0,14.0,58.0,0.7506944444444444,22,2,0
I04691,U035,F009,2026-02-26T05:07:00,Thai,Chicken,Sour,Low,Curry,Dinner,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,10.0,14.0,7.0,15.0,59.0,0.29375,5,3,1
I02838,U035,F019,2026-03-03T09:48:00,Italian,Beef,Spicy,High,Curry,Dinner,1.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,11.0,14.0,7.0,15.0,62.0,1.132638888888889,9,1,1
I04885,U035,F029,2026-03-05T07:04:00,Indian,Chicken,Savory,Medium,Bread,Lunch,0.0,1.0,0.0,0.0,1.0,1.0,0.5,11.0,14.0,8.0,15.0,63.0,1.886111111111111,7,3,0
I00441,U035,F082,2026-03-06T10:14:00,Italian,Fish,Sweet,High,Noodles,Lunch,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334,11.0,15.0,8.0,15.0,64.0,1.1319444444444444,10,4,1
I00002,U005,F051,2026-01-03T15:41:00,Chinese,Chicken,Creamy,Low,Noodles,Snack,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.16597222222222222,15,5,0
I03359,U005,F002,2026-01-06T21:57:00,Chinese,Beef,Savory,High,Curry,Breakfast,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,3.0,1.2131944444444445,21,1,0
I01102,U005,F053,2026-01-12T13:32:00,Thai,Chicken,Sour,High,Curry,Dinner,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,2.0,0.0,0.0,5.0,4.6375,13,0,0
I01204,U005,F044,2026-01-16T19:10:00,Pakistani,Fish,Creamy,Low,Rice,Breakfast,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,2.0,0.0,1.0,8.0,0.2513888888888889,19,4,0
I02607,U005,F036,2026-01-17T03:16:00,Pakistani,Chicken,Savory,Low,Rice,Breakfast,1.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,2.0,0.0,2.0,9.0,0.3375,3,5,1
I01277,U005,F039,2026-01-18T18:59:00,Chinese,Fish,Sour,Low,Rice,Breakfast,0.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,2.0,1.0,2.0,10.0,1.6548611111111111,18,6,1
I03634,U005,F025,2026-01-21T06:51:00,Mexican,Mutton,Savory,Medium,Pasta,Lunch,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,2.0,2.0,2.0,12.0,1.0263888888888888,6,2,1
I02487,U005,F009,2026-01-21T08:01:00,Thai,Chicken,Sour,Low,Curry,Dinner,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,2.0,3.0,2.0,13.0,0.04861111111111111,8,2,1
I02326,U005,F068,2026-01-25T08:29:00,Italian,Mutton,Savory,Medium,Noodles,Lunch,0.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,2.0,3.0,2.0,14.0,4.019444444444445,8,6,1
I01741,U005,F050,2026-01-28T03:30:00,Thai,Vegetarian,Spicy,Low,Curry,Breakfast,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,2.0,2.0,3.0,2.0,15.0,2.792361111111111,3,2,1
I01763,U005,F064,2026-01-28T15:58:00,Pakistani,Chicken,Sweet,Low,Bread,Lunch,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,3.0,2.0,3.0,2.0,16.0,0.5194444444444445,15,2,1
I04181,U005,F064,2026-01-29T14:18:00,Pakistani,Chicken,Sweet,Low,Bread,Lunch,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,4.0,2.0,3.0,2.0,17.0,0.9305555555555556,14,3,0
I02783,U005,F076,2026-01-29T15:20:00,Pakistani,Chicken,Sweet,Low,Curry,Dinner,1.0,1.0,0.0,0.0,0.0,1.0,0.5,4.0,3.0,3.0,2.0,18.0,0.043055555555555555,15,3,1
I01139,U005,F013,2026-01-31T16:04:00,Italian,Mutton,Spicy,High,Bread,Breakfast,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,5.0,3.0,3.0,2.0,19.0,2.0305555555555554,16,5,0
I03355,U005,F064,2026-02-02T04:26:00,Pakistani,Chicken,Sweet,Low,Bread,Lunch,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,5.0,4.0,3.0,2.0,20.0,1.5152777777777777,4,0,1
I03349,U005,F070,2026-02-03T01:30:00,Chinese,Beef,Spicy,Medium,Rice,Lunch,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,6.0,4.0,3.0,2.0,21.0,0.8777777777777778,1,1,1
I03863,U005,F045,2026-02-03T18:10:00,Pakistani,Beef,Spicy,Medium,Pasta,Snack,1.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,7.0,4.0,3.0,2.0,22.0,0.6944444444444444,18,1,1
I02039,U005,F025,2026-02-04T02:51:00,Mexican,Mutton,Savory,Medium,Pasta,Lunch,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,8.0,4.0,3.0,2.0,23.0,0.36180555555555555,2,2,0
I02936,U005,F049,2026-02-05T02:44:00,Mexican,Mutton,Savory,Low,Curry,Snack,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,8.0,4.0,3.0,3.0,24.0,0.9951388888888889,2,3,0
I03209,U005,F050,2026-02-05T03:24:00,Thai,Vegetarian,Spicy,Low,Curry,Breakfast,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,8.0,4.0,3.0,4.0,25.0,0.027777777777777776,3,3,1
I00435,U005,F044,2026-02-05T08:54:00,Pakistani,Fish,Creamy,Low,Rice,Breakfast,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,9.0,4.0,3.0,4.0,26.0,0.22916666666666666,8,3,0
I03845,U005,F047,2026-02-05T14:05:00,Indian,Mutton,Sour,Medium,Pasta,Snack,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,9.0,4.0,3.0,5.0,27.0,0.21597222222222223,14,3,0
I02855,U005,F019,2026-02-07T05:49:00,Italian,Beef,Spicy,High,Curry,Dinner,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,9.0,4.0,3.0,6.0,28.0,1.6555555555555554,5,5,0
I03707,U005,F041,2026-02-09T13:56:00,Mexican,Chicken,Savory,Low,Pasta,Dinner,0.0,1.0,1.0,0.0,0.0,1.0,0.5,9.0,4.0,3.0,7.0,29.0,2.3381944444444445,13,0,1
I00544,U005,F096,2026-02-12T01:17:00,Mexican,Fish,Sour,Medium,Noodles,Dinner,0.0,0.0,0.0,1.0,1.0,1.0,0.5,10.0,4.0,3.0,7.0,31.0,1.4756944444444444,1,3,0
I03486,U005,F073,2026-02-12T14:37:00,Chinese,Fish,Sweet,Medium,Noodles,Lunch,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,10.0,5.0,3.0,7.0,32.0,0.5555555555555556,14,3,0
I01374,U005,F052,2026-02-12T19:25:00,Pakistani,Vegetarian,Spicy,High,Curry,Breakfast,1.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,10.0,5.0,3.0,8.0,33.0,0.2,19,3,1
I04640,U005,F019,2026-02-14T07:31:00,Italian,Beef,Spicy,High,Curry,Dinner,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,11.0,5.0,3.0,8.0,35.0,1.2055555555555555,7,5,1
I04066,U005,F099,2026-02-14T14:37:00,Thai,Chicken,Spicy,Low,Noodles,Snack,0.0,1.0,1.0,0.0,1.0,0.0,0.5,11.0,5.0,3.0,8.0,36.0,0.29583333333333334,14,5,1
I02545,U005,F033,2026-02-15T22:34:00,Mexican,Mutton,Sour,High,Bread,Snack,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,12.0,5.0,3.0,8.0,37.0,1.33125,22,6,0
I01401,U005,F085,2026-02-17T01:29:00,Indian,Vegetarian,Creamy,High,Bread,Snack,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,12.0,6.0,3.0,8.0,38.0,1.1215277777777777,1,1,0
I03255,U005,F089,2026-02-18T03:54:00,Pakistani,Chicken,Spicy,Medium,Curry,Breakfast,1.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,12.0,6.0,3.0,9.0,39.0,1.1006944444444444,3,2,1
I03477,U005,F083,2026-02-20T23:20:00,Indian,Fish,Spicy,High,Curry,Dinner,0.0,0.0,1.0,1.0,0.0,1.0,0.5,12.0,6.0,4.0,9.0,41.0,2.1125,23,4,1
I01982,U005,F065,2026-02-23T00:41:00,Mexican,Fish,Creamy,High,Pasta,Breakfast,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,13.0,6.0,4.0,9.0,42.0,2.05625,0,0,0
I02239,U005,F015,2026-02-23T18:19:00,Indian,Fish,Sweet,High,Curry,Lunch,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,13.0,6.0,4.0,10.0,43.0,0.7347222222222223,18,0,0
I04862,U005,F069,2026-02-24T18:29:00,Mexican,Chicken,Sweet,High,Pasta,Lunch,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,13.0,6.0,4.0,11.0,44.0,1.0069444444444444,18,1,0
I00854,U005,F044,2026-02-25T14:51:00,Pakistani,Fish,Creamy,Low,Rice,Breakfast,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,13.0,7.0,4.0,11.0,47.0,0.6347222222222222,14,2,1
I00927,U005,F070,2026-02-27T00:33:00,Chinese,Beef,Spicy,Medium,Rice,Lunch,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,13.0,7.0,5.0,11.0,48.0,1.4041666666666666,0,4,1
I00914,U005,F010,2026-02-27T00:38:00,Mexican,Vegetarian,Sweet,High,Noodles,Breakfast,0.0,1.0,0.0,1.0,1.0,0.0,0.5,13.0,7.0,6.0,11.0,49.0,0.003472222222222222,0,4,0
I00084,U005,F017,2026-02-27T15:54:00,Indian,Mutton,Savory,Low,Curry,Dinner,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,13.0,8.0,6.0,11.0,50.0,0.6361111111111111,15,4,0
I03121,U005,F068,2026-03-02T00:38:00,Italian,Mutton,Savory,Medium,Noodles,Lunch,0.0,0.0,1.0,1.0,1.0,0.0,0.5,13.0,8.0,6.0,12.0,51.0,2.363888888888889,0,0,1
I03705,U005,F046,2026-03-02T06:42:00,Chinese,Fish,Savory,Low,Pasta,Breakfast,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,14.0,8.0,6.0,12.0,52.0,0.25277777777777777,6,0,0
I01578,U005,F070,2026-03-02T06:53:00,Chinese,Beef,Spicy,Medium,Rice,Lunch,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,14.0,8.0,6.0,13.0,53.0,0.007638888888888889,6,0,1
I00856,U005,F095,2026-03-04T03:54:00,Thai,Vegetarian,Sour,High,Pasta,Lunch,0.0,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,15.0,8.0,6.0,13.0,54.0,1.8756944444444446,3,2,0
I02741,U005,F096,2026-03-05T19:01:00,Mexican,Fish,Sour,Medium,Noodles,Dinner,0.0,0.0,0.0,1.0,1.0,1.0,0.5,15.0,8.0,6.0,14.0,56.0,0.6479166666666667,19,3,1
I00324,U005,F064,2026-03-05T19:20:00,Pakistani,Chicken,Sweet,Low,Bread,Lunch,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,15.0,8.0,7.0,14.0,57.0,0.013194444444444444,19,3,0
